"expectedAgeAtDeath","ageOfMother"
13.3671,1
9.59592,25
50.1577,6
19.7614,22
25.5959,16
129,0
5.27825,3
7.36706,10
21.1577,13
23.5959,10
6.27825,5
17.1577,11
17.7614,4
20.5959,0
9.59592,10
27.1577,10
10.2783,2
20.1577,8
21.5959,16
6.27825,3
17.1577,7
121,0
6.76137,6
13.5959,2
102,18
14.5959,8
8.27825,37
25.5959,2
15.2783,7
6.27825,13
10.5959,12
6.36706,17
10.7614,4
22.1577,15
7.27825,0
7.76137,0
20.5959,3
5.30733,14
129,2
117,22
109,6
14.7614,17
19.1577,19
35.5959,6
24.5959,4
27.1577,0
10.5959,0
7.27825,1
21.1577,25
4.30733,2
36.1577,0
22.1577,4
37.1577,14
131,8
29.1577,6
37.1577,0
6.76137,3
4.36706,19
46.1577,1
20.1577,3
25.7614,9
17.5959,11
11.7614,1
23.2783,0
8.76137,9
6.76137,4
6.36706,22
10.5959,9
19.5959,0
17.5959,17
12.7614,4
20.5959,8
124,2
13.2783,12
33.7614,38
29.1577,2
15.7614,1
28.5959,2
135,5
7.76137,6
10.3671,1
44.1577,1
6.36706,1
114,1
17.1577,3
10.7614,0
115,2
8.27825,6
13.7614,17
19.7614,3
13.5959,19
11.2783,4
20.5959,24
9.59592,5
18.1577,9
6.76137,9
6.27825,12
6.27825,5
8.76137,1
34.1577,6
7.27825,8
131,3
14.5959,3
21.1577,1
11.5959,0
36.1577,10
6.36706,8
24.5959,3
45.1577,23
10.7614,35
14.5959,0
6.76137,6
50.1577,11
18.1577,4
14.5959,16
3.30733,8
27.5959,1
9.59592,7
23.1577,6
12.5959,5
11.5959,3
6.30733,1
22.5959,31
9.36706,7
7.76137,11
29.1577,10
5.27825,2
6.36706,36
9.36706,5
118,18
30.1577,5
19.1577,0
47.1577,5
110,5
115,0
136,15
108,8
17.7614,7
9.59592,2
10.2783,3
19.2783,21
6.76137,10
17.1577,2
38.1577,9
132,0
27.1577,13
25.1577,16
11.2783,2
104,2
17.1577,0
37.1577,10
26.5959,2
134,0
39.1577,1
10.5959,18
105,3
6.27825,5
42.1577,7
7.36706,2
18.5959,5
13.2783,29
44.1577,2
39.1577,1
5.27825,22
109,2
6.76137,10
9.59592,6
12.7614,3
24.5959,13
15.7614,11
20.1577,3
17.5959,2
17.1577,1
16.5959,12
18.1577,7
8.36706,20
113,2
12.3671,5
4.30733,11
4.36706,2
9.59592,2
116,4
29.1577,5
14.5959,2
31.1577,0
13.5959,1
46.1577,0
32.1577,2
20.1577,0
18.1577,19
17.5959,15
10.3671,14
120,0
19.1577,4
7.76137,3
37.1577,2
9.59592,11
5.75108,8
15.7614,0
37.1577,0
20.1577,4
27.1577,2
19.1577,10
8.27825,11
4.30733,0
19.7614,4
17.1577,24
8.27825,31
14.7614,19
5.27825,9
100,3
22.5959,9
7.76137,5
10.5959,0
38.1577,4
24.5959,25
9.59592,24
33.1577,6
17.7614,7
14.5959,7
10.7614,21
45.1577,2
5.30733,7
42.1577,17
7.36706,25
22.7614,8
8.27825,6
16.7614,26
6.27825,1
25.1577,12
5.36706,27
5.27825,6
32.1577,2
17.5959,4
23.5959,1
21.2783,15
12.5959,22
13.5959,5
23.5959,7
3.75108,23
15.2783,4
19.5959,2
10.7511,13
5.27825,0
20.5959,4
15.5959,12
53.1577,0
19.5959,26
10.7614,7
44.1577,2
8.76137,1
15.5959,0
7.27825,3
132,2
9.59592,4
14.5959,11
8.76137,0
17.7614,1
5.27825,7
17.5959,11
117,7
26.7614,6
9.27825,4
29.5959,1
14.5959,4
13.5959,7
10.2783,31
8.76137,2
21.1577,4
20.7614,4
8.76137,11
5.30733,16
17.1577,2
9.36706,0
24.5959,6
7.27825,6
13.7614,14
10.5959,11
9.59592,4
7.27825,1
12.5959,2
12.3671,6
117,0
17.1577,5
40.1577,21
40.1577,16
9.76137,12
13.7614,30
22.1577,1
17.7614,34
19.1577,0
136,1
4.36706,8
30.7614,0
18.5959,2
7.76137,6
26.7614,7
7.76137,4
110,11
22.5959,9
120,0
11.2783,11
21.1577,19
18.7614,5
12.7614,2
10.7614,5
125,0
37.1577,9
10.5959,2
27.1577,18
25.1577,3
10.5959,4
6.27825,12
10.7614,9
17.1577,10
5.27825,20
17.7614,1
106,4
25.7614,2
3.30733,17
18.1577,9
10.5959,2
15.2783,17
48.1577,2
9.59592,24
128,10
11.5959,15
11.3671,20
9.59592,3
46.1577,5
23.5959,3
13.5959,2
14.5959,6
49.1577,5
30.5959,1
114,4
17.5959,2
24.7614,0
19.2783,21
12.2783,4
9.59592,13
7.27825,10
13.7614,6
108,0
20.5959,0
15.5959,1
26.1577,3
112,0
103,5
19.5959,0
21.1577,7
7.27825,14
19.1577,1
20.5959,16
37.1577,3
13.7614,3
11.2783,4
27.1577,14
25.1577,0
27.5959,24
16.5959,5
13.7614,7
7.27825,12
21.5959,7
17.1577,17
15.5959,15
21.5959,0
10.2783,31
3.75108,2
6.76137,38
6.75108,2
6.27825,4
21.1577,10
9.59592,0
39.1577,8
44.5959,1
13.2783,3
7.36706,4
18.1577,7
20.1577,17
7.36706,6
39.5959,1
7.27825,10
9.36706,1
13.7614,11
6.27825,9
11.7614,1
9.27825,1
7.76137,26
20.5959,12
108,4
5.27825,0
25.1577,9
10.2783,12
27.5959,9
52.1577,9
7.76137,8
128,10
132,7
41.1577,3
11.5959,2
21.1577,0
27.1577,14
26.7614,0
8.76137,37
14.3671,0
23.1577,1
17.1577,0
130,0
29.1577,2
49.1577,28
101,10
11.5959,2
4.75108,1
3.30733,1
25.1577,8
32.1577,20
17.7614,15
124,1
4.75108,2
135,2
8.75108,38
21.1577,2
11.5959,3
30.5959,1
20.1577,1
42.1577,1
9.59592,4
10.5959,4
4.36706,23
10.3671,11
105,21
14.7614,6
17.7614,2
19.1577,1
15.7614,30
20.1577,3
10.7614,0
42.1577,0
6.76137,1
9.59592,3
25.1577,3
6.76137,0
119,31
28.1577,7
29.5959,5
5.75108,2
15.5959,1
25.1577,10
20.5959,0
9.59592,1
17.1577,0
131,0
42.1577,2
12.5959,0
108,2
9.59592,3
10.2783,15
45.1577,5
104,7
6.76137,16
12.5959,4
33.1577,1
102,4
14.5959,13
9.59592,0
21.1577,6
16.5959,0
20.1577,9
35.1577,4
20.7614,0
22.5959,22
8.76137,5
135,1
15.5959,0
102,12
15.5959,8
21.7614,6
7.36706,9
114,9
22.1577,12
21.2783,15
18.1577,4
7.76137,2
3.75108,20
8.36706,24
110,4
138,5
7.76137,6
113,7
9.76137,3
13.5959,12
132,7
7.27825,4
30.1577,9
17.1577,8
29.1577,14
39.1577,0
103,3
24.7614,11
16.5959,17
29.1577,4
5.36706,0
8.76137,14
22.7614,13
6.76137,2
23.1577,2
117,1
11.5959,2
5.27825,16
11.7614,6
12.5959,0
51.1577,0
17.1577,4
27.5959,1
13.3671,5
115,7
17.1577,0
22.5959,2
17.5959,22
27.1577,4
32.1577,10
9.76137,22
28.5959,17
7.27825,4
10.7614,0
13.7614,18
107,12
8.76137,9
25.5959,1
20.1577,3
22.7614,3
7.27825,22
32.1577,13
115,6
21.5959,17
28.1577,3
4.36706,6
22.1577,6
14.7614,21
10.5959,3
30.1577,7
112,5
6.76137,9
11.5959,17
24.5959,7
24.5959,15
7.27825,3
14.5959,18
133,2
5.27825,0
6.76137,24
25.1577,26
28.1577,0
7.36706,6
5.27825,3
6.27825,30
6.76137,0
47.1577,2
11.5959,0
33.5959,5
20.5959,4
116,13
17.5959,1
19.1577,3
23.5959,13
32.7614,16
106,19
29.1577,4
11.7614,0
11.2783,8
28.5959,0
9.59592,2
13.7614,4
47.1577,2
9.59592,19
6.76137,24
25.1577,6
4.36706,2
114,3
12.5959,7
15.7614,7
133,0
22.5959,5
18.1577,1
20.1577,6
19.7614,26
5.30733,14
14.5959,16
6.76137,2
21.5959,2
18.5959,11
138,2
9.59592,6
12.7614,8
16.5959,0
2.9728,0
13.2783,10
25.5959,0
44.1577,1
6.27825,9
10.5959,7
22.5959,0
7.76137,0
5.36706,8
7.27825,2
38.1577,4
8.27825,3
12.7614,0
5.27825,0
20.1577,0
3.75108,15
11.5959,10
135,3
10.5959,4
14.5959,2
23.1577,3
11.5959,7
118,7
49.1577,2
18.1577,5
6.27825,4
24.1577,1
14.7614,1
5.27825,1
10.5959,39
20.5959,1
114,8
14.7614,1
109,7
29.1577,0
30.1577,8
19.5959,3
30.1577,4
123,8
7.76137,16
11.5959,2
40.1577,27
19.5959,19
18.1577,0
49.1577,39
44.1577,16
13.2783,2
18.1577,21
101,3
104,5
16.5959,2
29.1577,14
5.27825,4
52.1577,8
6.27825,17
4.75108,19
104,1
9.76137,2
10.5959,0
6.76137,3
14.5959,3
5.36706,13
12.7614,4
12.2783,8
8.27825,16
135,4
22.1577,2
9.76137,1
40.1577,0
5.36706,14
40.1577,1
22.5959,3
5.27825,18
17.1577,1
12.7614,1
16.7614,3
22.5959,6
7.76137,20
105,1
15.7614,0
5.75108,22
47.1577,3
6.76137,4
18.1577,1
20.1577,12
8.76137,13
17.1577,1
23.1577,29
14.2783,1
13.3671,14
10.5959,29
14.5959,9
8.76137,1
17.7614,13
13.5959,7
4.36706,26
9.36706,14
102,8
134,5
15.2783,1
35.7614,2
123,11
19.5959,15
27.1577,2
101,0
130,0
115,1
131,22
8.9728,20
31.7614,2
8.76137,37
38.1577,5
15.7614,7
7.76137,5
13.5959,1
7.76137,11
23.1577,0
30.1577,5
21.5959,4
104,14
19.1577,32
105,30
21.5959,0
38.1577,7
133,11
17.7511,2
110,2
26.1577,1
4.75108,5
18.1577,3
30.1577,12
15.5959,5
24.1577,1
10.3671,23
113,5
6.27825,3
107,33
104,2
132,6
18.5959,3
133,9
20.5959,1
115,0
16.5959,16
15.5959,0
117,25
114,12
28.1577,2
22.1577,3
22.5959,11
11.7614,8
10.3671,4
129,7
11.7614,0
44.5959,3
107,0
33.1577,8
22.1577,18
30.1577,11
12.7614,2
21.1577,6
11.2783,28
18.1577,10
30.5959,13
101,6
5.36706,32
136,0
46.1577,4
5.36706,2
10.5959,9
6.27825,8
4.75108,16
10.5959,4
36.1577,6
21.7614,16
46.1577,32
113,2
15.7614,0
10.2783,6
23.7614,0
9.27825,1
32.1577,0
5.36706,19
18.5959,1
8.76137,14
129,7
15.7614,13
134,2
121,1
10.2783,2
111,13
6.27825,17
10.5959,4
34.1577,6
6.36706,14
5.36706,3
11.5959,3
137,4
33.1577,1
14.2783,21
18.5959,36
104,4
18.5959,0
11.7614,24
24.2783,32
7.76137,2
105,6
14.2783,0
5.36706,35
114,11
25.7614,3
9.27825,6
137,1
15.5959,0
7.76137,0
101,2
6.27825,5
33.1577,11
26.1577,0
105,6
26.1577,7
11.5959,1
14.5959,25
13.5959,3
24.5959,30
15.5959,2
42.1577,6
19.1577,2
109,1
23.1577,12
26.1577,0
104,9
23.1577,7
10.2783,7
126,6
122,2
21.3671,3
21.1577,8
18.1577,0
9.30733,0
11.5959,1
42.1577,9
8.76137,2
18.5959,0
30.1577,12
18.5959,3
23.1577,1
106,1
22.5959,5
7.76137,4
28.5959,11
21.5959,2
14.5959,11
13.5959,6
123,1
10.5959,8
32.5959,2
8.75108,4
115,0
10.5959,10
15.7614,4
10.2783,34
116,0
8.36706,1
36.1577,16
12.7614,0
2.30733,36
3.36706,0
16.1577,8
5.76137,7
4.27825,0
5.76137,11
5.76137,14
5.76137,37
99,2
8.59592,3
4.27825,22
5.76137,4
8.59592,6
5.76137,1
1.9728,8
5.76137,6
3.36706,23
5.76137,1
4.27825,3
3.36706,26
4.27825,11
1.9728,3
2.75108,3
16.1577,7
8.59592,10
5.76137,4
5.76137,5
4.27825,2
8.59592,4
4.27825,6
5.76137,25
3.36706,8
4.27825,3
2.30733,19
8.59592,2
8.59592,8
5.76137,3
8.59592,0
3.36706,15
16.1577,0
3.36706,6
8.59592,0
4.27825,3
2.75108,35
2.30733,26
2.75108,23
4.27825,2
16.1577,0
5.76137,16
16.1577,2
4.27825,2
5.76137,2
3.36706,1
5.76137,1
8.59592,7
5.76137,8
3.36706,10
4.27825,7
5.76137,12
16.1577,0
2.30733,4
8.59592,25
8.59592,16
5.76137,3
8.59592,1
5.76137,0
99,0
8.59592,18
5.76137,23
8.59592,25
5.76137,21
4.27825,22
4.27825,1
99,14
4.27825,3
5.76137,29
2.75108,37
3.36706,2
16.1577,2
5.76137,4
3.36706,10
5.76137,3
16.1577,2
3.36706,23
5.76137,15
3.36706,13
4.27825,4
99,4
5.76137,25
99,12
4.27825,3
5.76137,7
5.76137,7
99,2
8.59592,1
16.1577,8
5.76137,1
4.27825,38
5.76137,21
4.27825,1
2.30733,2
3.36706,19
8.59592,3
8.59592,9
4.27825,2
3.36706,0
8.59592,6
99,11
5.76137,2
5.76137,5
5.76137,0
8.59592,1
1.50291,11
16.1577,6
5.76137,0
8.59592,2
8.59592,1
8.59592,17
4.27825,4
8.59592,15
3.36706,29
4.27825,6
4.27825,18
5.76137,8
3.36706,37
4.27825,16
2.75108,1
5.76137,10
3.36706,1
3.36706,3
5.76137,5
5.76137,30
4.27825,0
8.59592,15
3.36706,5
4.27825,16
5.76137,1
3.36706,10
8.76137,1
30.5959,4
100,8
9.59592,6
124,6
11.2783,11
6.76137,3
8.75108,5
20.5959,24
6.27825,3
10.5959,24
101,14
126,2
11.7614,12
9.59592,22
18.1577,19
9.27825,37
8.75108,2
12.7614,6
45.1577,5
4.36706,5
12.5959,0
9.59592,3
100,2
3.30733,37
17.5959,6
30.5959,4
9.59592,16
14.7614,25
9.59592,0
118,0
125,32
14.5959,2
3.30733,39
7.27825,3
6.36706,6
13.7614,3
21.5959,4
137,11
54.1577,2
27.1577,10
19.5959,36
122,3
12.5959,17
8.75108,12
9.59592,11
7.76137,3
26.1577,3
13.7614,1
22.1577,12
28.5959,9
122,2
105,4
13.2783,3
48.1577,0
21.5959,5
30.1577,2
108,5
12.7614,0
18.1577,6
11.2783,7
14.3671,12
9.59592,17
127,1
11.7614,38
18.5959,4
118,4
6.36706,16
9.59592,4
35.1577,5
123,11
4.36706,3
17.7614,7
28.5959,0
18.5959,5
6.76137,0
7.27825,5
26.1577,9
30.5959,13
16.5959,3
19.1577,8
13.2783,11
54.1577,3
32.1577,20
9.59592,9
18.1577,5
16.7614,20
10.7614,8
12.7614,5
8.76137,5
24.1577,6
17.1577,0
14.5959,0
12.7614,13
11.7614,25
102,0
17.5959,12
11.2783,0
13.7614,2
5.36706,2
26.5959,3
35.1577,2
40.1577,16
5.36706,1
23.5959,4
5.27825,0
41.1577,26
12.2783,7
5.27825,13
26.5959,5
20.1577,0
2.71188,25
22.1577,0
7.27825,27
36.1577,12
129,0
6.76137,2
18.1577,1
121,16
9.27825,7
26.1577,13
20.1577,2
31.1577,3
6.76137,17
35.1577,0
12.5959,2
10.5959,2
21.1577,2
11.7614,0
4.36706,1
121,6
17.1577,10
7.27825,10
131,17
7.27825,11
34.5959,15
11.7614,1
9.36706,21
10.5959,5
46.1577,0
35.1577,0
12.5959,1
10.5959,3
120,0
10.5959,1
134,13
7.36706,4
115,2
38.1577,0
3.30733,9
10.5959,1
22.5959,0
5.36706,23
4.36706,1
17.1577,6
7.76137,1
100,0
16.7511,33
18.5959,8
47.1577,1
14.5959,6
24.7614,1
10.5959,20
128,20
21.5959,1
36.1577,2
16.5959,9
5.27825,12
22.1577,22
14.7614,37
12.5959,22
7.27825,0
12.5959,2
6.27825,4
5.75108,18
19.7614,11
24.7614,0
20.5959,0
11.7614,1
122,1
11.7614,3
7.36706,3
3.75108,34
7.76137,0
19.5959,3
103,0
9.59592,12
8.76137,5
115,7
9.76137,16
21.5959,3
20.1577,4
7.27825,2
21.1577,1
8.76137,2
100,3
22.7614,0
34.1577,3
106,3
17.2783,33
132,3
4.9728,23
4.75108,27
10.5959,3
113,6
11.5959,6
54.1577,1
100,14
4.30733,14
33.1577,1
23.5959,20
7.27825,1
8.36706,35
124,21
17.5959,1
24.1577,3
4.75108,4
31.1577,8
5.27825,28
45.1577,11
106,14
10.5959,2
136,6
35.5959,18
34.1577,1
23.1577,16
9.27825,0
115,10
6.27825,0
111,22
21.7614,0
10.7614,1
4.36706,2
10.7614,2
109,8
8.36706,16
5.27825,0
123,8
6.76137,7
20.7614,4
4.36706,24
19.1577,17
12.5959,5
115,14
103,0
10.3671,6
7.76137,13
102,2
16.5959,3
22.5959,10
20.5959,2
3.75108,11
10.5959,27
38.1577,3
18.5959,11
24.5959,1
111,6
7.76137,7
21.1577,11
21.5959,1
122,13
23.2783,11
17.1577,7
14.7614,11
18.1577,5
27.5959,0
6.76137,0
7.27825,0
9.27825,0
128,2
14.5959,9
128,0
113,5
15.5959,30
36.5959,0
35.7614,1
15.5959,0
10.5959,3
17.1577,4
9.59592,9
25.1577,2
25.1577,16
110,7
42.1577,3
18.1577,34
9.59592,0
138,0
8.76137,21
10.5959,8
21.1577,1
19.2783,10
10.2783,2
20.1577,5
25.5959,14
47.1577,5
35.1577,4
19.1577,6
8.27825,15
6.76137,12
45.5959,23
27.2783,11
5.30733,23
47.5959,0
127,2
9.59592,6
12.5959,4
12.5959,0
44.1577,9
4.36706,27
9.59592,20
4.36706,3
107,12
4.36706,14
114,2
21.1577,7
17.1577,24
135,1
7.27825,7
20.1577,0
23.3671,15
7.27825,3
13.5959,24
7.76137,1
104,4
35.1577,5
138,2
18.1577,3
29.1577,14
18.1577,7
8.76137,10
6.27825,6
6.27825,6
107,0
9.59592,1
21.1577,25
103,5
4.36706,10
6.76137,19
12.7614,0
3.30733,6
4.36706,33
9.27825,1
6.76137,15
10.5959,0
124,2
18.1577,5
8.76137,2
23.1577,4
22.1577,17
17.1577,12
14.5959,0
51.1577,2
10.7614,0
17.1577,9
13.5959,15
6.76137,4
8.76137,15
35.1577,2
4.30733,10
7.76137,3
117,5
7.76137,5
7.36706,21
137,1
10.5959,0
108,5
112,34
25.1577,2
9.59592,1
25.1577,4
15.5959,11
53.1577,0
30.1577,26
6.36706,6
7.76137,8
9.76137,5
5.36706,0
6.76137,2
14.7614,0
15.5959,11
9.59592,1
9.59592,7
6.76137,3
104,1
6.76137,0
135,0
13.2783,0
103,0
126,8
5.27825,3
3.30733,18
4.36706,24
35.1577,3
21.5959,2
8.76137,3
6.27825,1
24.5959,14
12.5959,11
131,0
16.7614,1
16.5959,2
9.36706,17
11.2783,11
18.1577,0
9.59592,12
20.3671,20
9.76137,39
6.27825,1
11.2783,2
11.2783,9
18.1577,2
117,9
9.30733,6
13.7614,1
11.5959,3
10.7614,5
4.36706,3
55.1577,24
46.1577,4
24.5959,21
19.5959,0
14.7614,2
5.27825,13
2.9728,2
18.5959,12
8.27825,7
26.5959,0
9.27825,19
6.36706,7
8.76137,9
18.1577,8
42.1577,12
5.36706,11
116,8
38.1577,7
8.36706,14
123,5
124,2
39.1577,0
19.1577,7
6.76137,10
21.5959,5
123,2
9.27825,12
34.1577,0
10.5959,25
17.2783,10
7.76137,6
9.27825,16
3.75108,2
12.2783,1
5.75108,9
15.5959,22
15.3671,4
8.76137,15
6.27825,6
26.2783,21
9.59592,3
9.59592,5
10.7614,11
19.1577,3
42.5959,0
6.76137,16
120,3
21.5959,7
9.59592,17
29.7614,11
100,3
21.5959,2
120,5
25.1577,25
37.1577,7
17.7614,7
9.59592,2
46.1577,8
28.5959,2
9.59592,3
11.2783,12
136,3
132,2
7.27825,15
37.5959,16
4.36706,23
7.76137,7
17.1577,2
107,10
124,5
3.75108,7
11.5959,11
27.1577,10
45.5959,2
12.5959,6
130,1
9.59592,38
16.7614,11
6.27825,1
18.1577,1
18.7614,3
6.76137,20
15.5959,3
15.5959,0
10.7614,6
4.36706,22
3.75108,25
115,2
21.1577,1
8.76137,8
19.1577,7
35.1577,3
17.1577,17
21.1577,11
25.1577,0
10.7614,12
19.5959,18
38.1577,0
11.7614,13
9.59592,14
4.36706,4
5.27825,28
42.1577,2
7.76137,1
19.5959,4
8.76137,0
25.5959,30
11.5959,2
32.1577,38
47.1577,1
104,7
12.7614,2
17.2783,21
114,2
18.1577,2
16.5959,3
32.5959,0
34.1577,3
18.2783,0
127,0
9.36706,5
17.2783,27
16.5959,5
136,1
21.5959,26
6.27825,22
17.1577,2
15.5959,3
9.59592,11
9.59592,0
118,2
10.5959,24
29.5959,0
10.3671,24
22.5959,2
106,5
7.76137,31
22.1577,0
14.5959,6
26.5959,11
23.1577,23
25.5959,6
8.76137,12
7.27825,12
26.1577,5
22.5959,37
18.1577,1
7.76137,4
11.7614,7
45.1577,0
112,0
129,8
9.59592,20
18.1577,6
10.5959,27
11.5959,1
30.3671,9
10.5959,29
9.76137,2
23.1577,16
13.7614,28
9.36706,9
10.7614,12
136,8
16.2783,7
31.1577,5
3.75108,11
18.2783,5
102,0
27.5959,35
7.76137,11
9.59592,0
8.76137,7
115,4
18.5959,7
16.5959,2
22.1577,2
19.5959,6
14.7614,1
28.1577,3
27.5959,10
9.59592,3
31.5959,0
14.2783,7
14.5959,10
24.1577,27
14.7614,13
44.5959,1
11.2783,7
9.59592,3
8.76137,19
129,5
18.5959,3
19.5959,4
6.76137,1
27.1577,1
104,15
6.76137,24
38.5959,37
10.7614,1
13.5959,4
8.36706,0
7.30733,33
5.30733,3
8.76137,0
32.1577,2
10.7614,38
14.5959,0
32.1577,4
32.5959,1
42.1577,0
19.7614,2
17.7614,0
12.5959,8
14.5959,24
22.1577,0
12.7614,5
10.7614,8
120,2
20.1577,0
124,9
138,2
117,5
133,9
110,7
119,7
21.5959,6
18.5959,14
18.5959,1
126,0
12.5959,2
21.1577,4
14.2783,3
53.1577,6
16.5959,10
21.5959,2
11.3073,22
25.1577,8
8.27825,32
7.76137,4
28.1577,2
131,3
9.76137,11
3.71188,12
9.76137,30
10.2783,23
16.5959,5
22.5959,2
7.76137,0
39.1577,7
16.2783,5
7.76137,1
7.27825,0
21.1577,18
135,29
12.2783,8
34.1577,6
22.7614,9
8.27825,11
12.5959,4
8.76137,31
15.5959,0
129,6
8.27825,7
10.5959,35
29.1577,10
15.2783,3
28.5959,5
22.5959,13
18.1577,8
16.5959,8
24.5959,9
125,0
26.1577,0
23.5959,21
39.5959,2
26.1577,5
11.3671,29
11.7614,5
9.76137,6
124,24
8.76137,7
11.5959,33
21.1577,3
13.5959,34
42.5959,14
46.1577,33
16.5959,8
7.76137,17
26.1577,11
10.5959,10
10.7614,1
26.1577,7
14.5959,1
11.5959,3
123,6
101,6
103,3
7.76137,12
24.5959,24
12.7614,11
136,6
29.7614,3
5.36706,2
37.1577,5
29.5959,15
27.1577,0
38.5959,0
20.1577,4
10.5959,2
27.1577,14
26.5959,2
11.7614,14
18.5959,2
29.1577,5
21.1577,21
7.76137,1
5.36706,2
10.5959,6
9.76137,9
40.1577,3
130,1
18.5959,5
52.1577,1
26.1577,1
13.2783,1
8.27825,14
15.5959,1
9.36706,25
42.1577,2
11.7511,12
11.5959,3
12.7614,6
28.2783,6
9.27825,2
10.7511,5
10.2783,0
15.2783,13
28.5959,16
39.5959,6
38.1577,1
31.7614,0
35.5959,2
25.1577,2
131,4
121,3
18.5959,14
17.7614,9
27.1577,6
10.7614,8
13.7614,1
9.76137,1
12.5959,0
21.5959,2
22.7614,1
34.1577,17
9.27825,35
20.5959,4
25.5959,10
12.5959,2
28.1577,5
101,0
6.75108,36
21.1577,10
13.2783,26
116,3
17.7614,26
13.5959,6
14.3671,0
20.1577,0
20.1577,8
6.27825,34
10.5959,1
125,29
9.27825,38
17.7614,0
21.5959,4
135,30
38.5959,1
16.2783,1
22.2783,11
40.1577,12
135,0
36.1577,20
12.5959,8
18.1577,3
28.1577,16
20.7614,6
9.27825,14
24.1577,18
10.7614,1
33.5959,13
33.5959,3
108,0
6.75108,32
101,0
10.7614,31
17.7614,6
9.76137,0
20.1577,26
28.1577,2
135,7
9.76137,0
22.7614,2
8.27825,2
54.1577,2
125,1
12.5959,8
25.1577,3
28.1577,0
9.76137,0
103,0
36.1577,17
12.5959,32
20.1577,6
104,3
8.27825,0
103,4
21.1577,2
4.27825,29
2.75108,34
8.59592,9
3.36706,29
8.59592,8
5.76137,1
8.59592,4
4.27825,27
8.59592,18
4.27825,5
5.76137,18
5.76137,13
5.76137,2
3.36706,2
16.1577,4
4.27825,8
3.36706,1
8.59592,3
5.76137,18
8.59592,4
8.59592,2
4.27825,1
16.1577,1
5.76137,30
3.36706,7
4.27825,13
16.1577,9
16.1577,16
16.1577,3
5.76137,17
3.36706,6
16.1577,4
16.1577,4
2.75108,7
2.75108,7
3.36706,12
5.76137,29
2.75108,31
5.76137,7
16.1577,0
2.75108,0
5.76137,5
16.1577,1
5.76137,5
3.36706,36
1.9728,18
8.59592,3
99,3
4.27825,1
16.1577,4
5.76137,2
5.76137,2
8.59592,3
16.1577,3
4.27825,10
16.1577,5
3.36706,1
4.27825,6
4.27825,8
16.1577,10
4.27825,1
2.75108,18
8.59592,4
8.59592,1
3.36706,11
4.27825,5
5.76137,0
8.59592,4
8.59592,0
8.59592,2
5.76137,0
8.59592,15
4.27825,6
8.59592,31
2.75108,4
4.27825,31
99,0
8.59592,6
3.36706,4
5.76137,0
8.59592,19
8.59592,3
2.30733,4
4.27825,25
5.76137,12
4.27825,4
5.76137,22
2.30733,3
8.59592,21
4.27825,18
16.1577,8
16.1577,0
4.27825,17
4.27825,25
4.27825,25
5.76137,3
3.36706,6
16.1577,3
5.76137,1
8.59592,0
5.76137,2
16.1577,3
5.76137,1
16.1577,4
8.59592,3
5.76137,2
3.36706,8
4.27825,20
8.59592,35
5.76137,2
3.36706,22
5.76137,1
4.27825,4
5.76137,5
3.36706,4
2.75108,4
8.59592,24
5.76137,7
5.76137,8
5.76137,18
16.1577,2
4.27825,11
2.30733,29
4.27825,35
16.1577,0
5.76137,4
4.27825,1
3.36706,10
8.59592,0
3.36706,2
8.59592,5
3.36706,29
5.76137,21
4.27825,30
3.36706,2
2.30733,34
5.76137,10
5.76137,4
16.1577,10
5.76137,2
2.75108,8
4.27825,23
5.76137,9
5.76137,6
5.76137,8
99,1
8.59592,1
4.27825,4
4.27825,3
4.27825,0
5.76137,1
4.27825,1
5.76137,29
2.75108,1
5.76137,5
3.36706,16
8.59592,3
8.59592,1
8.59592,12
2.30733,29
4.27825,4
1.50291,4
4.27825,7
2.75108,4
